"B6" "Balance of payments BPM6"
"B6BL" "Balance of payments BPM6 > Current account Balance"
"B6BLPI" "Balance of payments BPM6 > Current account Balance > Primary income"
"B6BLPI01" "Balance of payments BPM6 > Current account Balance > Primary income > Total Balance"
"B6BLSE" "Balance of payments BPM6 > Current account Balance > Services"
"B6BLSE01" "Balance of payments BPM6 > Current account Balance > Services > Total Balance"
"B6BLSI" "Balance of payments BPM6 > Current account Balance > Secondary income"
"B6BLSI01" "Balance of payments BPM6 > Current account Balance > Secondary income > Total Balance"
"B6BLTD" "Balance of payments BPM6 > Current account Balance > Goods"
"B6BLTD01" "Balance of payments BPM6 > Current account Balance > Goods > Total Balance"
"B6BLTD20" "Balance of payments BPM6 > Current account Balance > Goods > Net exports of goods under merchanting Balance"
"B6BLTD21" "Balance of payments BPM6 > Current account Balance > Goods > Goods acquired under merchanting (negative credit) Balance"
"B6BLTD22" "Balance of payments BPM6 > Current account Balance > Goods > Goods sold under merchanting Balance"
"B6BLTT" "Balance of payments BPM6 > Current account Balance > Total"
"B6BLTT01" "Balance of payments BPM6 > Current account Balance > Total > Total Balance"
"B6BLTT02" "Balance of payments BPM6 > Current account Balance > Total > Total Balance as % of GDP"
"B6CA" "Balance of payments BPM6 > Capital account"
"B6CACR" "Balance of payments BPM6 > Capital account > Capital account Credits"
"B6CACR00" "Balance of payments BPM6 > Capital account > Capital account Credits > Capital account Credits"
"B6CACR01" "Balance of payments BPM6 > Capital account > Capital account Credits > Gross disposals of non-produced non-financial assets Credits"
"B6CACR02" "Balance of payments BPM6 > Capital account > Capital account Credits > Capital transfers Credits"
"B6CADB" "Balance of payments BPM6 > Capital account > Capital account Debits"
"B6CADB00" "Balance of payments BPM6 > Capital account > Capital account Debits > Capital account Debits"
"B6CADB01" "Balance of payments BPM6 > Capital account > Capital account Debits > Gross acquisitions of non-produced non-financial assets Debits"
"B6CADB02" "Balance of payments BPM6 > Capital account > Capital account Debits > Capital transfers Debits"
"B6CATT" "Balance of payments BPM6 > Capital account > Capital account Balance"
"B6CATT00" "Balance of payments BPM6 > Capital account > Capital account Balance > Capital account Balance"
"B6CATT01" "Balance of payments BPM6 > Capital account > Capital account Balance > Gross acquisitions/disposals of non-produced non-financial assets Balance"
"B6CATT02" "Balance of payments BPM6 > Capital account > Capital account Balance > Capital transfers Balance"
"B6CR" "Balance of payments BPM6 > Current account Credits"
"B6CRPI" "Balance of payments BPM6 > Current account Credits > Primary income"
"B6CRPI01" "Balance of payments BPM6 > Current account Credits > Primary income > Total Credits"
"B6CRSE" "Balance of payments BPM6 > Current account Credits > Services"
"B6CRSE01" "Balance of payments BPM6 > Current account Credits > Services > Total Credits"
"B6CRSE02" "Balance of payments BPM6 > Current account Credits > Services > Total Credits as % of Current account"
"B6CRSE03" "Balance of payments BPM6 > Current account Credits > Services > Total Credits as % of Goods and Services"
